module_id	spot_id
module_25	spot_0
module_13	spot_0
module_7	spot_0
module_6	spot_0
module_26	spot_0
module_27	spot_0
module_23	spot_1
module_34	spot_3
module_55	spot_4
module_56	spot_4
module_57	spot_4
module_28	spot_4
module_87	spot_4
module_69	spot_4
module_78	spot_4
module_4	spot_5
module_37	spot_6
module_76	spot_7
module_30	spot_7
module_24	spot_9
module_2	spot_10
module_42	spot_11
module_16	spot_12
module_17	spot_12
module_18	spot_12
module_19	spot_12
module_20	spot_12
module_3	spot_13
module_1	spot_14
module_32	spot_15
module_38	spot_17
module_61	spot_17
module_15	spot_18
module_7	spot_18
module_8	spot_18
module_33	spot_19
module_62	spot_21
module_44	spot_21
module_73	spot_21
module_24	spot_22
module_80	spot_23
module_81	spot_23
module_84	spot_23
module_89	spot_23
module_83	spot_24
module_10	spot_25
module_6	spot_25
module_11	spot_25
module_12	spot_25
module_13	spot_25
module_14	spot_25
module_7	spot_25
module_5	spot_26
module_6	spot_26
module_7	spot_26
module_8	spot_26
module_9	spot_26
module_47	spot_26
module_13	spot_26
module_73	spot_27
module_41	spot_28
module_35	spot_29
module_39	spot_30
module_86	spot_31
module_63	spot_31
module_40	spot_31
module_21	spot_32
module_22	spot_32
module_88	spot_32
module_52	spot_32
module_59	spot_34
module_54	spot_35
module_16	spot_36
module_17	spot_36
module_18	spot_36
module_19	spot_36
module_20	spot_36
module_51	spot_36
module_48	spot_37
module_49	spot_37
module_53	spot_38
module_50	spot_39
module_68	spot_40
module_65	spot_42
module_48	spot_43
module_49	spot_43
module_70	spot_44
module_69	spot_45
module_51	spot_48
module_79	spot_50
module_64	spot_50
module_55	spot_50
module_56	spot_50
module_57	spot_50
module_67	spot_51
module_66	spot_51
module_31	spot_57
module_74	spot_59
module_78	spot_60
module_62	spot_60
module_44	spot_60
module_56	spot_61
module_55	spot_61
module_75	spot_63
module_77	spot_64
module_19	spot_65
module_16	spot_65
module_74	spot_70
module_16	spot_71
module_17	spot_71
module_6	spot_71
module_5	spot_71
module_35	spot_76
module_81	spot_77
module_80	spot_77
module_84	spot_77
module_85	spot_79
module_29	spot_82
module_90	spot_83
module_90	spot_84
module_87	spot_85
module_69	spot_85
module_82	spot_86
