spot	nb_rgp	nb_families	nb_unique_family_sets	mean_nb_genes	stdev_nb_genes	max_nb_genes	min_nb_genes
spot_7	9	13	9	6.222	0.441	7	6
spot_9	9	8	9	8	0.0	8	8
spot_17	9	36	9	18.222	10.208	26	4
spot_22	9	8	9	8	0.0	8	8
spot_23	9	292	9	43.667	46.976	143	7
spot_4	8	186	8	38.875	23.086	89	15
spot_18	8	72	8	16.125	19.475	64	5
spot_21	8	145	8	19.625	13.606	46	5
spot_27	8	30	8	12	1.512	14	10
spot_32	8	24	8	8.375	1.408	10	7
spot_5	7	13	7	10.714	0.488	11	10
spot_8	7	47	7	16.429	3.359	21	12
spot_14	7	10	7	7.857	0.378	8	7
spot_19	7	8	7	6	0.816	7	5
spot_20	7	7	7	6	0.0	6	6
spot_31	7	31	7	9.714	3.45	16	7
spot_50	7	178	7	30.143	53.177	150	4
spot_2	6	23	6	9.333	1.751	12	8
spot_11	6	5	6	5	0.0	5	5
spot_13	6	12	6	12.333	0.816	14	12
spot_28	6	7	6	7	0.0	7	7
spot_3	5	20	5	7	2.449	11	5
spot_6	5	6	5	6	0.0	6	6
spot_15	5	7	5	5.8	0.837	7	5
spot_29	5	5	5	5	0.0	5	5
spot_30	5	19	5	18.4	0.548	19	18
spot_33	5	6	5	6.6	0.894	8	6
spot_34	5	12	5	8.2	1.789	11	7
spot_26	4	175	4	58	4.0	64	56
spot_40	4	18	4	9.75	2.217	12	7
spot_57	4	6	4	6	0.0	6	6
spot_10	3	7	3	7	0.0	7	7
spot_24	3	61	3	21.667	29.738	56	4
spot_25	3	134	3	65.333	1.155	66	64
spot_63	3	15	3	9.333	1.155	10	8
spot_1	2	12	2	12	0.0	12	12
spot_35	2	4	2	4.5	0.707	5	4
spot_38	2	4	2	4	0.0	4	4
spot_42	2	5	2	5	0.0	5	5
spot_44	2	8	2	8	0.0	8	8
spot_51	2	17	2	14.5	4.95	18	11
spot_58	2	12	2	7	0.0	7	7
spot_64	2	5	2	5	1.414	6	4
spot_79	2	7	2	7	0.0	7	7
spot_0	1	62	1	62	0	62	62
spot_12	1	59	1	60	0	60	60
spot_16	1	4	1	4	0	4	4
spot_36	1	89	1	90	0	90	90
spot_37	1	34	1	34	0	34	34
spot_39	1	8	1	8	0	8	8
spot_41	1	8	1	8	0	8	8
spot_43	1	38	1	39	0	39	39
spot_45	1	33	1	33	0	33	33
spot_46	1	13	1	13	0	13	13
spot_47	1	4	1	4	0	4	4
spot_48	1	40	1	40	0	40	40
spot_49	1	7	1	7	0	7	7
spot_52	1	15	1	15	0	15	15
spot_53	1	49	1	49	0	49	49
spot_54	1	23	1	23	0	23	23
spot_55	1	10	1	10	0	10	10
spot_56	1	6	1	6	0	6	6
spot_59	1	7	1	7	0	7	7
spot_60	1	33	1	34	0	34	34
spot_61	1	45	1	45	0	45	45
spot_62	1	5	1	5	0	5	5
spot_65	1	58	1	58	0	58	58
spot_66	1	10	1	10	0	10	10
spot_67	1	4	1	4	0	4	4
spot_68	1	6	1	6	0	6	6
spot_69	1	6	1	6	0	6	6
spot_70	1	6	1	6	0	6	6
spot_71	1	57	1	57	0	57	57
spot_72	1	4	1	4	0	4	4
spot_73	1	7	1	7	0	7	7
spot_74	1	14	1	14	0	14	14
spot_75	1	26	1	26	0	26	26
spot_76	1	7	1	7	0	7	7
spot_77	1	77	1	77	0	77	77
spot_78	1	7	1	7	0	7	7
spot_80	1	42	1	42	0	42	42
spot_81	1	7	1	7	0	7	7
spot_82	1	7	1	7	0	7	7
spot_83	1	6	1	6	0	6	6
spot_84	1	10	1	10	0	10	10
spot_85	1	39	1	39	0	39	39
spot_86	1	19	1	22	0	22	22
